,issueId,issueDescription
0,squid:S2589,Boolean expressions should not be gratuitous
1,squid:S00105,Tabulation characters should not be used
2,squid:S00121,Control structures should use curly braces
3,squid:S00122,Statements should be on separate lines
4,squid:S1132,Strings literals should be placed on the left side when checking for equality
5,squid:S1147,Exit methods should not be called
6,squid:S2221,"""Exception"" should not be caught when not required by called methods"
7,squid:S2232,"""ResultSet.isLast()"" should not be used"
8,squid:S2583,Conditionally executed blocks should be reachable
9,squid:S00112,Generic exceptions should never be thrown
10,squid:S1149,"Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used"
11,squid:S1264,"A ""while"" loop should be used instead of a ""for"" loop"
12,squid:S2112,"""URL.hashCode"" and ""URL.equals"" should be avoided"
13,squid:S2445,"Blocks should be synchronized on ""private final"" fields or parameters"
14,squid:S1118,Utility classes should not have public constructors
15,squid:S2699,Tests should include assertions
16,squid:UnusedPrivateMethod,"Unused ""private"" methods should be removed"
17,squid:UselessParenthesesCheck,Redundant pairs of parentheses should be removed
18,squid:S1244,Floating point numbers should not be tested for equality
19,squid:S2384,Mutable members should not be stored or returned directly
20,squid:S2692,"""indexOf"" checks should not be for positive numbers"
21,squid:S2694,"Inner classes which do not reference their owning classes should be ""static"""
22,squid:S3358,Ternary operators should not be nested
23,squid:S1068,"Unused ""private"" fields should be removed"
24,squid:S1172,Unused method parameters should be removed
25,squid:S1186,Methods should not be empty
26,squid:S2140,"Methods of ""Random"" that return floating point values should not be used in random integer generation"
27,squid:S2274,"""Object.wait(...)"" and ""Condition.await(...)"" should be called inside a ""while"" loop"
28,squid:S2275,Printf-style format strings should not lead to unexpected behavior at runtime
29,squid:S2276,"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held"
30,squid:S2278,Neither DES (Data Encryption Standard) nor DESede (3DES) should be used
31,squid:S1155,Collection.isEmpty() should be used to test for emptiness
32,squid:S1157,Case insensitive string comparisons should be made without intermediate upper or lower casing
33,squid:S1158,"Primitive wrappers should not be instantiated only for ""toString"" or ""compareTo"" calls"
34,squid:S1181,Throwable and Error should not be caught
35,squid:S2129,"Constructors should not be used to instantiate ""String"" and primitive-wrapper classes"
36,squid:S2273,"""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object"
37,squid:S2390,Classes should not access static members of their own subclasses during initialization
38,squid:S3346,"Expressions used in ""assert"" should not produce side effects"
39,squid:S3457,Printf-style format strings should be used correctly
40,squid:AssignmentInSubExpressionCheck,Assignments should not be made from within sub-expressions
41,squid:S1161,"""@Override"" should be used on overriding and implementing methods"
42,squid:S1163,Exceptions should not be thrown in finally blocks
43,squid:S1166,Exception handlers should preserve the original exceptions
44,squid:S2130,"Parsing should be used to convert ""Strings"" to primitives"
45,squid:S2131,"Primitives should not be boxed just for ""String"" conversion"
46,squid:S2133,"Objects should not be created only to ""getClass"""
47,squid:S2250,Collection methods with O(n) performance should be used carefully
48,squid:S2629,"""Preconditions"" and logging arguments should not require evaluation"
49,squid:S2864,"""entrySet()"" should be iterated when both the key and value are needed"
50,squid:S1640,Maps with keys that are enum values should be replaced with EnumMap
51,squid:S1641,Sets with elements that are enum values should be replaced with EnumSet
52,squid:S1643,Strings should not be concatenated using '+' in a loop
53,squid:S1698,"""=="" and ""!="" should not be used when ""equals"" is overridden"
54,squid:S1751,Jump statements should not be used unconditionally
55,squid:S1764,Identical expressions should not be used on both sides of a binary operator
56,squid:S1871,Two branches in a conditional structure should not have exactly the same implementation
57,squid:S1994,"""for"" loop increment clauses should modify the loops' counters"
58,squid:S3631,"""Arrays.stream"" should be used for primitive arrays"
59,squid:S3725,"Java 8's ""Files.exists"" should not be used"
60,squid:S3750,"Spring ""@Controller"" classes should not use ""@Scope"""
61,squid:MaximumInheritanceDepth,Inheritance tree of classes should not be too deep
62,squid:S1215,Execution of the Garbage Collector should be triggered only by the JVM
63,squid:S1219,"""switch"" statements should not contain non-case labels"
64,squid:S1226,"Method parameters, caught exceptions and foreach variables should not be reassigned"
65,squid:S2437,Silly bit operations should not be performed
66,squid:S3751,"""@RequestMapping"" methods should be ""public"""
67,squid:CallToFileDeleteOnExitMethod,"""deleteOnExit"" should not be used"
68,squid:IndentationCheck,Source code should be indented consistently
69,squid:S1201,"""equals"" method overrides should accept ""Object"" parameters"
70,squid:S1609,@FunctionalInterface annotation should be used to flag Single Abstract Method interfaces
71,squid:S1850,"""instanceof"" operators that always return ""true"" or ""false"" should be removed"
72,squid:S1854,Dead stores should be removed
73,squid:S1858,"""toString()"" should never be called on a String object"
74,squid:S1943,Classes and methods that rely on the default system encoding should not be used
75,squid:S3749,Members of Spring components should be injected
76,squid:SwitchLastCaseIsDefaultCheck,"""switch"" statements should end with ""default"" clauses"
77,squid:MethodCyclomaticComplexity,Methods should not be too complex
78,squid:S124,Track comments matching a regular expression
79,squid:S128,"Switch cases should end with an unconditional ""break"" statement"
80,squid:S135,"Loops should not contain more than a single ""break"" or ""continue"" statement"
81,squid:S2189,Loops should not be infinite
82,squid:S2718,"""DateUtils.truncate"" from Apache Commons Lang library should not be used"
83,squid:S3923,All branches in a conditional structure should not have exactly the same implementation
84,squid:EmptyStatementUsageCheck,Empty statements should be removed
85,squid:S1075,URIs should not be hardcoded
86,squid:S2047,"The names of methods with boolean return values should start with ""is"" or ""has"""
87,squid:S2070,SHA-1 and Message-Digest hash algorithms should not be used
88,squid:S2077,SQL binding mechanisms should be used
89,squid:S2184,Math operands should be cast before assignment
90,squid:S2185,Silly math should not be performed
91,squid:S2197,Modulus results should not be checked for direct equality
92,squid:S3047,Multiple loops over the same set should be combined
93,squid:S1191,"Classes from ""sun.*"" packages should not be used"
94,squid:S2096,"""main"" should not ""throw"" anything"
95,squid:S2160,"Subclasses that add fields should override ""equals"""
96,squid:S2178,Short-circuit logic should be used in boolean contexts
97,squid:S3010,Static fields should not be updated in constructors
98,squid:S3027,String function use should be optimized for single characters
99,squid:S2093,Try-with-resources should be used
100,pmd-unit-tests:JUnitTestsShouldIncludeAssert,JUnit tests should include an assert
101,pmd-unit-tests:TestClassWithoutTestCases,Test class without test cases (JUnit 3.x only)
102,pmd-unit-tests:UseAssertEqualsInsteadOfAssertTrue,Use assertEquals instead of assertTrue
103,pmd-unit-tests:UseAssertTrueInsteadOfAssertEquals,Use Assert True Instead Of Assert Equals
104,pmd-unit-tests:JUnit4SuitesShouldUseSuiteAnnotation,JUnit4 Suites Should Use Suite Annotation
105,pmd-unit-tests:JUnit4TestShouldUseAfterAnnotation,JUnit4 Test Should Use After Annotation
106,pmd-unit-tests:JUnit4TestShouldUseBeforeAnnotation,JUnit4 Test Should Use Before Annotation
107,pmd-unit-tests:JUnit4TestShouldUseTestAnnotation,JUnit4 Test Should Use Test Annotation
108,pmd-unit-tests:JUnitAssertionsShouldIncludeMessage,JUnit assertions should include a message
109,pmd-unit-tests:JUnitSpelling,JUnit spelling
110,pmd-unit-tests:JUnitStaticSuite,JUnit static suite
111,pmd-unit-tests:JUnitTestContainsTooManyAsserts,JUnit Test Contains Too Many Asserts
112,pmd-unit-tests:JUnitUseExpected,JUnit Use Expected
113,pmd-unit-tests:SimplifyBooleanAssertion,Simplify boolean assertion
114,pmd-unit-tests:UnnecessaryBooleanAssertion,Unnecessary boolean assertion
115,pmd-unit-tests:UseAssertNullInsteadOfAssertTrue,Use assertNull instead of assertTrue
116,pmd-unit-tests:UseAssertSameInsteadOfAssertTrue,Use assertSame instead of assertTrue
117,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.NoCloneCheck,No Clone
118,checkstyle:com.puppycrawl.tools.checkstyle.checks.header.HeaderCheck,Header
119,checkstyle:com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck,Regexp Header
120,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck,Import Control
121,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.FileTabCharacterCheck,File Tab Character
122,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.PackageDeclarationCheck,Package Declaration
123,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck,Equals Avoid Null
124,pmd:AvoidFieldNameMatchingMethodName,Naming - Avoid field name matching method name
125,pmd:ExcessivePublicCount,Excessive Public Count
126,pmd:FinalizeDoesNotCallSuperFinalize,Finalize Does Not Call Super Finalize
127,pmd:OneDeclarationPerLine,One Declaration Per Line
128,pmd:PackageCase,Package case
129,pmd:AvoidConstantsInterface,Avoid Constants Interface
130,pmd:AvoidDuplicateLiterals,Avoid Duplicate Literals
131,pmd:AvoidEnumAsIdentifier,Avoid Enum As Identifier
132,pmd:AvoidReassigningParameters,Avoid Reassigning Parameters
133,pmd:AvoidRethrowingException,Avoid Rethrowing Exception
134,pmd:CloneMethodReturnTypeMustMatchClassName,If a class implements Cloneable the return type of the method clone() must be the class name
135,pmd:CloneThrowsCloneNotSupportedException,Clone Throws Clone Not Supported Exception
136,pmd:CloseResource,Close Resource
137,pmd:CompareObjectsWithEquals,Compare Objects With Equals
138,pmd:ConsecutiveAppendsShouldReuse,Consecutive Appends Should Reuse
139,pmd:EmptyStatementBlock,Empty Statement Block
140,pmd:EmptySynchronizedBlock,Empty Synchronized Block
141,pmd:EqualsNull,Equals Null
142,pmd:IfStmtsMustUseBraces,If Stmts Must Use Braces
143,pmd:TooManyStaticImports,Too Many Static Imports
144,pmd:UnnecessaryFullyQualifiedName,Unnecessary Fully Qualified Name
145,pmd:UnnecessaryLocalBeforeReturn,Unnecessary Local Before Return
146,pmd:UnusedFormalParameter,Unused formal parameter
147,pmd:UseArrayListInsteadOfVector,Use Array List Instead Of Vector
148,pmd:UseArraysAsList,Use Arrays As List
149,pmd:XPathRule,XPath rule template
150,pmd:AbstractClassWithoutAbstractMethod,Abstract Class Without Abstract Method
151,pmd:AddEmptyString,Add Empty String
152,pmd:BigIntegerInstantiation,Big Integer Instantiation
153,pmd:CloneMethodMustBePublic,"By convention, classes that implement the Cloneable interface should override Object.clone (which is protected) with a public method"
154,pmd:CloneMethodMustImplementCloneable,Clone method must implement Cloneable
155,pmd:CommentRequired,Comment Required
156,pmd:ConfusingTernary,Confusing Ternary
157,pmd:DontCallThreadRun,Dont Call Thread Run
158,pmd:EmptyStaticInitializer,Empty Static Initializer
159,pmd:EmptySwitchStatements,Empty Switch Statements
160,pmd:ExceptionAsFlowControl,Exception As Flow Control
161,pmd:GodClass,God Class
162,pmd:InsufficientStringBufferDeclaration,Insufficient String Buffer Declaration
163,pmd:MethodNamingConventions,Naming - Method naming conventions
164,pmd:MisleadingVariableName,Naming - Misleading variable name
165,pmd:ModifiedCyclomaticComplexity,Modified Cyclomatic Complexity
166,pmd:NoPackage,No package
167,pmd:RedundantFieldInitializer,Redundant Field Initializer
168,pmd:UncommentedEmptyConstructor,Uncommented Empty Constructor
169,pmd:UnnecessaryFinalModifier,Unnecessary Final Modifier
170,pmd:UseProperClassLoader,Use Proper Class Loader
171,pmd:AccessorClassGeneration,Accessor Class Generation
172,pmd:AvoidProtectedFieldInFinalClass,Avoid Protected Field In Final Class
173,pmd:AvoidSynchronizedAtMethodLevel,Avoid Synchronized At Method Level
174,pmd:AvoidUsingOctalValues,Avoid Using Octal Values
175,pmd:BooleanGetMethodName,Boolean Get Method Name
176,pmd:CheckResultSet,Check ResultSet
177,pmd:CyclomaticComplexity,Code size - cyclomatic complexity
178,pmd:EmptyTryBlock,Empty Try Block
179,pmd:ExtendsObject,Extends Object
180,pmd:InefficientStringBuffering,Inefficient String Buffering
181,pmd:LongVariable,Long Variable
182,pmd:NcssMethodCount,Ncss Method Count
183,pmd:NonStaticInitializer,Non Static Initializer
184,pmd:ReplaceEnumerationWithIterator,Replace Enumeration With Iterator
185,pmd:SimplifyBooleanExpressions,Avoid unnecessary comparisons in boolean expressions
186,pmd:StringToString,String To String
187,pmd:SuspiciousConstantFieldName,Naming - Suspicious constant field name
188,pmd:SuspiciousEqualsMethodName,Naming - Suspicious equals method name
189,pmd:TooFewBranchesForASwitchStatement,Too few branches for a switch statement
190,pmd:TooManyFields,Too Many Fields
191,pmd:UnnecessaryReturn,Unnecessary Return
192,pmd:UnusedPrivateMethod,Unused private method
193,pmd:AssignmentInOperand,Assignment In Operand
194,pmd:AvoidDecimalLiteralsInBigDecimalConstructor,Avoid Decimal Literals In Big Decimal Constructor
195,pmd:AvoidPrefixingMethodParameters,Avoid Prefixing Method Parameters
196,pmd:AvoidPrintStackTrace,Avoid Print Stack Trace
197,pmd:AvoidThrowingNullPointerException,Avoid Throwing Null Pointer Exception
198,pmd:AvoidUsingVolatile,Avoid Using Volatile
199,pmd:CloneMethodMustImplementCloneableWithTypeResolution,Clone Method Must Implement Cloneable (With Type Resolution)
200,pmd:CouplingBetweenObjects,Coupling between objects
201,pmd:DefaultPackage,Default Package
202,pmd:DoNotHardCodeSDCard,Android - Do Not Hard Code SD Card
203,pmd:DuplicateImports,Duplicate Imports
204,pmd:ExcessiveParameterList,Excessive Parameter List
205,pmd:FinalizeShouldBeProtected,Finalize Should Be Protected
206,pmd:IfElseStmtsMustUseBraces,If Else Stmts Must Use Braces
207,pmd:MethodReturnsInternalArray,Security - Method returns internal array
208,pmd:NonCaseLabelInSwitchStatement,Non Case Label In Switch Statement
209,pmd:SimplifiedTernary,Ternary operator with a boolean literal can be simplified with a boolean expression
210,pmd:SingularField,Singular Field
211,pmd:TooManyMethods,Too many methods
212,pmd:UnnecessaryParentheses,Unnecessary parentheses
213,pmd:UseCollectionIsEmpty,Use Collection Is Empty
214,pmd:UseIndexOfChar,Use Index Of Char
215,pmd:UseVarargs,Use Varargs
216,pmd:WhileLoopsMustUseBraces,While Loops Must Use Braces
217,pmd:AvoidAccessibilityAlteration,Avoid Accessibility Alteration
218,pmd:AvoidCatchingThrowable,Avoid Catching Throwable
219,pmd:AvoidUsingShortType,Avoid Using Short Type
220,pmd:ClassNamingConventions,Naming - Class naming conventions
221,pmd:DefaultLabelNotLastInSwitchStmt,Default label not last in switch statement
222,pmd:DoNotUseThreads,Do Not Use Threads
223,pmd:EmptyFinallyBlock,Empty Finally Block
224,pmd:FieldDeclarationsShouldBeAtStartOfClass,Field Declarations Should Be At Start Of Class
225,pmd:FinalizeOverloaded,Finalize Overloaded
226,pmd:ImportFromSamePackage,Import From Same Package
227,pmd:LocalVariableCouldBeFinal,Local variable could be final
228,pmd:LoosePackageCoupling,Loose Package Coupling
229,pmd:MisplacedNullCheck,Misplaced Null Check
230,pmd:NullAssignment,Null Assignment
231,pmd:PositionLiteralsFirstInCaseInsensitiveComparisons,Position Literals First In Case Insensitive Comparisons
232,pmd:PositionLiteralsFirstInComparisons,Position Literals First In Comparisons
233,pmd:ReturnFromFinallyBlock,Return From Finally Block
234,pmd:ShortMethodName,Naming - Short method name
235,pmd:SimpleDateFormatNeedsLocale,Simple Date Format Needs Locale
236,pmd:UnconditionalIfStatement,Unconditional If Statement
237,pmd:UnnecessaryConstructor,Unnecessary constructor
238,pmd:UnnecessaryConversionTemporary,Unnecessary Conversion Temporary
239,pmd:AbstractNaming,Abstract naming
240,pmd:ArrayIsStoredDirectly,Security - Array is stored directly
241,pmd:AtLeastOneConstructor,At Least One Constructor
242,pmd:AvoidStringBufferField,Avoid StringBuffer field
243,pmd:CommentContent,Comment Content
244,pmd:EmptyStatementNotInLoop,Empty Statement Not In Loop
245,pmd:GenericsNaming,Generics Naming
246,pmd:GuardLogStatementJavaUtil,Guard Log Statement Java Util
247,pmd:IdempotentOperations,Idempotent Operations
248,pmd:LogicInversion,Logic Inversion
249,pmd:LooseCouplingWithTypeResolution,Loose Coupling (With Type Resolution)
250,pmd:MethodWithSameNameAsEnclosingClass,Naming - Method with same name as enclosing class
251,pmd:MissingBreakInSwitch,Missing Break In Switch
252,pmd:ProperCloneImplementation,Proper clone implementation
253,pmd:ShortClassName,Short Class Name
254,pmd:SignatureDeclareThrowsExceptionWithTypeResolution,Signature Declare Throws Exception (With Type Resolution)
255,pmd:SimplifyBooleanReturns,Simplify boolean returns
256,pmd:SingleMethodSingleton,Only one getInstance method is allowed
257,pmd:SingletonClassReturningNewInstance,getInstance should cache the instance
258,pmd:UselessStringValueOf,Useless String Value Of
259,pmd:AvoidArrayLoops,Avoid Array Loops
260,pmd:AvoidThrowingNewInstanceOfSameException,Strict Exception - Avoid throwing new instance of same exception
261,pmd:AvoidUsingNativeCode,Avoid Using Native Code
262,pmd:BooleanInstantiation,Boolean Instantiation
263,pmd:ConsecutiveLiteralAppends,Consecutive Literal Appends
264,pmd:DoNotCallGarbageCollectionExplicitly,Do not call garbage collection explicitly
265,pmd:DontImportSun,Dont Import Sun
266,pmd:ExcessiveMethodLength,Excessive Method Length
267,pmd:FinalFieldCouldBeStatic,Final Field Could Be Static
268,pmd:GuardLogStatement,Guard Log Statement
269,pmd:LoggerIsNotStaticFinal,Logger Is Not Static Final
270,pmd:MissingSerialVersionUID,Missing Serial Version UID
271,pmd:NonThreadSafeSingleton,Non Thread Safe Singleton
272,pmd:PreserveStackTrace,Preserve Stack Trace
273,pmd:ReturnEmptyArrayRatherThanNull,Return empty array rather than null
274,pmd:SimplifyConditional,Simplify Conditional
275,pmd:SuspiciousHashcodeMethodName,Naming - Suspicious Hashcode method name
276,pmd:SwitchStmtsShouldHaveDefault,Switch statements should have default
277,pmd:UnusedImports,Unused imports
278,pmd:UnusedImportsWithTypeResolution,Unused Imports (With Type Resolution)
279,pmd:UseNotifyAllInsteadOfNotify,Use Notify All Instead Of Notify
280,pmd:AppendCharacterWithChar,Append Character With Char
281,pmd:AvoidCallingFinalize,Avoid Calling Finalize
282,pmd:AvoidCatchingNPE,Avoid Catching NPE
283,pmd:AvoidDeeplyNestedIfStmts,Avoid Deeply Nested If Stmts
284,pmd:AvoidFinalLocalVariable,Avoid Final Local Variable
285,pmd:AvoidThreadGroup,Avoid Thread Group
286,pmd:CollapsibleIfStatements,Collapsible If Statements
287,pmd:DoNotExtendJavaLangError,Do Not Extend Java Lang Error
288,pmd:EmptyCatchBlock,Empty Catch Block
289,pmd:EmptyMethodInAbstractClassShouldBeAbstract,Empty Method In Abstract Class Should Be Abstract
290,pmd:ImmutableField,Immutable Field
291,pmd:InefficientEmptyStringCheck,Inefficient Empty String Check
292,pmd:LongInstantiation,Java5 migration - Long instantiation
293,pmd:LooseCoupling,Loose coupling
294,pmd:NcssTypeCount,Ncss Type Count
295,pmd:SimplifyStartsWith,Simplify Starts With
296,pmd:StdCyclomaticComplexity,Std Cyclomatic Complexity
297,pmd:UnusedLocalVariable,Unused local variable
298,pmd:UseEqualsToCompareStrings,Use Equals To Compare Strings
299,pmd:UselessOperationOnImmutable,Useless Operation On Immutable
300,pmd:UseUtilityClass,Use Utility Class
301,pmd:AbstractClassWithoutAnyMethod,Abstract class without any methods
302,pmd:AssignmentToNonFinalStatic,Assignment To Non Final Static
303,pmd:AvoidCatchingGenericException,Avoid Catching Generic Exception
304,pmd:AvoidInstanceofChecksInCatchClause,Avoid Instanceof Checks In Catch Clause
305,pmd:BrokenNullCheck,Broken Null Check
306,pmd:CallSuperLast,Android - call super last
307,pmd:ClassCastExceptionWithToArray,Class Cast Exception With To Array
308,pmd:CommentDefaultAccessModifier,Comment the default access modifier
309,pmd:DataflowAnomalyAnalysis,Dataflow Anomaly Analysis
310,pmd:ExcessiveImports,Coupling - excessive imports
311,pmd:MethodArgumentCouldBeFinal,Method Argument Could Be Final
312,pmd:OnlyOneReturn,Only One Return
313,pmd:OptimizableToArrayCall,Optimizable To Array Call
314,pmd:PrematureDeclaration,Premature Declaration
315,pmd:ReplaceVectorWithList,Replace Vector With List
316,pmd:SignatureDeclareThrowsException,Signature Declare Throws Exception
317,pmd:UncommentedEmptyMethodBody,Uncommented Empty Method
318,pmd:UnnecessaryCaseChange,Unnecessary Case Change
319,pmd:UnusedNullCheckInEquals,Unused Null Check In Equals
320,pmd:UseConcurrentHashMap,Use ConcurrentHashMap
321,pmd:UselessQualifiedThis,Flags unnecessary qualified usages of this
322,pmd:VariableNamingConventions,Naming - Variable naming conventions
323,pmd:AvoidAssertAsIdentifier,Avoid Assert As Identifier
324,pmd:AvoidBranchingStatementAsLastInLoop,Avoid Branching Statement As Last In Loop
325,pmd:CallSuperInConstructor,Call Super In Constructor
326,pmd:DoNotThrowExceptionInFinally,Strict Exception - Do not throw exception in finally
327,pmd:EmptyInitializer,Basic - Empty Initializer
328,pmd:FinalizeOnlyCallsSuperFinalize,Finalize Only Calls Super Finalize
329,pmd:ForLoopsMustUseBraces,For Loops Must Use Braces
330,pmd:GuardDebugLogging,Guard Debug Logging
331,pmd:InstantiationToGetClass,Instantiation To Get Class
332,pmd:LawOfDemeter,Law Of Demeter
333,pmd:LocalHomeNamingConvention,Local Home Naming Convention
334,pmd:NcssConstructorCount,Ncss Constructor Count
335,pmd:OverrideBothEqualsAndHashcode,Override both equals and hashcode
336,pmd:ProperLogger,Proper Logger
337,pmd:ShortInstantiation,Java5 migration - Short instantiation
338,pmd:StringInstantiation,String Instantiation
339,pmd:SuspiciousOctalEscape,Suspicious Octal Escape
340,pmd:SystemPrintln,System Println
341,pmd:UnnecessaryWrapperObjectCreation,Unnecessary Wrapper Object Creation
342,pmd:UseCorrectExceptionLogging,Use Correct Exception Logging
343,pmd:UseStringBufferForStringAppends,Use String Buffer For String Appends
344,pmd:AvoidUsingHardCodedIP,Avoid Using Hard Coded IP
345,pmd:ConstructorCallsOverridableMethod,Constructor Calls Overridable Method
346,pmd:DontImportJavaLang,Dont Import Java Lang
347,pmd:DontUseFloatTypeForLoopIndices,Dont Use Float Type For Loop Indices
348,pmd:LocalInterfaceSessionNamingConvention,Local Interface Session Naming Convention
349,pmd:UnusedModifier,Unused Modifier
350,pmd:UselessParentheses,Useless Parentheses
351,pmd:AvoidFieldNameMatchingTypeName,Naming - Avoid field name matching type name
352,pmd:AvoidInstantiatingObjectsInLoops,Avoid instantiating objects in loops
353,pmd:AvoidLiteralsInIfCondition,Avoid Literals In If Condition
354,pmd:AvoidMultipleUnaryOperators,Avoid Multiple Unary Operators
355,pmd:BadComparison,Bad Comparison
356,pmd:CallSuperFirst,Android - call super first
357,pmd:CheckSkipResult,Check Skip Result
358,pmd:ClassWithOnlyPrivateConstructorsShouldBeFinal,Class with only private constructors should be final
359,pmd:CommentSize,Comment Size
360,pmd:EmptyFinalizer,Empty Finalizer
361,pmd:IntegerInstantiation,Integer Instantiation
362,pmd:JumbledIncrementer,Jumbled Incrementer
363,pmd:NPathComplexity,NPath complexity
364,pmd:RemoteInterfaceNamingConvention,Remote Interface Naming Convention
365,pmd:StaticEJBFieldShouldBeFinal,Static EJB Field Should Be Final
366,pmd:StringBufferInstantiationWithChar,String Buffer Instantiation With Char
367,pmd:SwitchDensity,Switch Density
368,pmd:UnusedPrivateField,Unused Private Field
369,pmd:UseLocaleWithCaseConversions,Use Locale With Case Conversions
370,pmd:UseStringBufferLength,Use String Buffer Length
371,pmd:AvoidDollarSigns,Naming - Avoid dollar signs
372,pmd:AvoidProtectedMethodInFinalClassNotExtending,Avoid Protected Method In Final Class Not Extending
373,pmd:AvoidThrowingRawExceptionTypes,Avoid Throwing Raw Exception Types
374,pmd:BeanMembersShouldSerialize,Bean Members Should Serialize
375,pmd:ByteInstantiation,Java5 migration - Byte instantiation
376,pmd:DoNotCallSystemExit,Do Not Call System Exit
377,pmd:DoubleCheckedLocking,Double checked locking
378,pmd:EmptyIfStmt,Empty If Stmt
379,pmd:EmptyWhileStmt,Empty While Stmt
380,pmd:ExcessiveClassLength,Excessive Class Length
381,pmd:ForLoopShouldBeWhileLoop,For Loop Should Be While Loop
382,pmd:MDBAndSessionBeanNamingConvention,Message Driven Bean And Session Bean Naming Convention
383,pmd:MissingStaticMethodInNonInstantiatableClass,Missing Static Method In Non Instantiatable Class
384,pmd:MoreThanOneLogger,More Than One Logger
385,pmd:RemoteSessionInterfaceNamingConvention,Remote Session Interface Naming Convention
386,pmd:ReplaceHashtableWithMap,Replace Hashtable With Map
387,pmd:ShortVariable,Short Variable
388,pmd:UselessOverridingMethod,Useless Overriding Method
389,pmd:UseObjectForClearerAPI,Use Object For Clearer API
390,pmd:UnsynchronizedStaticDateFormatter,Unsynchronized Static Date Formatter
391,pmd:AvoidLosingExceptionInformation,Avoid Losing Exception Information
392,common-java:InsufficientLineCoverage,Lines should have sufficient coverage by tests
393,common-java:InsufficientBranchCoverage,Branches should have sufficient coverage by tests
394,code_smells:blob_class,Blob class
395,jdepend:abstractness,Abstractness
396,jdepend:afferent-couplings,Afferent Couplings
397,jdepend:distance-from-main-sequence,Distance from the Main Sequence
398,jdepend:efferent-couplings,Efferent Couplings
399,jdepend:instability,Instability
400,jdepend:package-cycle,Package Dependency Cycles
401,jdepend:number-of-classes-and-interfaces,Number of Classes and Interfaces
402,sonargraphintegration:CLASS_FILE_MISSING,Sonargraph Integration: Type without corresponding class file
403,sonargraphintegration:CLASS_FILE_UNPARSEABLE,Sonargraph Integration: Unable to parse class file
404,sonargraphintegration:COMPONENT_CYCLE_GROUP,Sonargraph Integration: Component Cycle Group
405,sonargraphintegration:INVALID_ARCHITECTURE_FILE_ENTRY,Sonargraph Integration: Invalid Entry In Architecture Check Configuration
406,sonargraphintegration:JAVA_FILE_UNPARSEABLE,Sonargraph Integration: Unable to parse java file
407,sonargraphintegration:MOVE_RENAME_REFACTORING,Sonargraph Integration: Move/rename Refactoring
408,sonargraphintegration:NAMESPACE_CYCLE_GROUP,Sonargraph Integration: Namespace Cycle Group
409,sonargraphintegration:SCALA_FILE_DUPLICATE,Sonargraph Integration: Duplicate scala file
