,issueId,issueDescription
410,sonargraphintegration:WORKSPACE_DEPENDENCY_PROBLEMATIC,Sonargraph Integration: Problematic Workspace Dependency
411,sonargraphintegration:CLASS_FILE_MISPLACED,Sonargraph Integration: Package of defined type does not match the relative directory path
412,sonargraphintegration:DUPLICATE_CODE_BLOCK,Sonargraph Integration: Duplicate Code Block
413,sonargraphintegration:GROOVY_FILE_DUPLICATE,Sonargraph Integration: Duplicate groovy file
414,sonargraphintegration:JAVA_FILE_CLASS_FILE_MISSING,Sonargraph Integration: Type defined in source file without corresponding class file
415,sonargraphintegration:ROOT_PATH_DOES_NOT_EXIST,Sonargraph Integration: Root Path Not Found
416,sonargraphintegration:ROOT_PATH_NO_READ_PERMISSION,Sonargraph Integration: Root Path Without Read Permission
417,sonargraphintegration:SCRIPT_RUNNER_CONFIGURATION_ERROR,Sonargraph Integration: Script Runner Configuration Error
418,sonargraphintegration:TODO,Sonargraph Integration: Todo
419,sonargraphintegration:UNRESOLVED_REQUIRED_ARTIFACT,Sonargraph Integration: Unresolved required artifact
420,sonargraphintegration:UNSUPPORTED_SCRIPT_API_LANGUAGE,Sonargraph Integration: Unsupported Script API Language
421,sonargraphintegration:WORKSPACE_DEPENDENCY_INVALID,Sonargraph Integration: Invalid Workspace Dependency
422,sonargraphintegration:ASPECTJ_FILE_TYPE_MATCHING_INCONSISTENT,Sonargraph Integration: Type(s) defined in AspectJ file do not match the source information obtained from class file(s)
423,sonargraphintegration:GROOVY_FILE_CORRESPONDING_CLASS_FILE_MISSING,Sonargraph Integration: Groovy file without corresponding class file
424,sonargraphintegration:SCALA_FILE_TYPE_MATCHING_INCONSISTENT,Sonargraph Integration: Type(s) defined in Scala file do not match the source information obtained from class file(s)
425,sonargraphintegration:ASPECTJ_FILE_DUPLICATE,Sonargraph Integration: AspectJ source file with same relative path has already be found
426,sonargraphintegration:CLASS_FILE_OUT_OF_DATE,Sonargraph Integration: Class file is out-of-date
427,sonargraphintegration:JAVA_FILE_PARSE_ERROR,Sonargraph Integration: Java file parse error
428,sonargraphintegration:JAVA_FILE_TYPE_MATCHING_INCONSISTENT,Sonargraph Integration: Type(s) defined in Java file do not match the source information obtained from class file(s)
429,sonargraphintegration:POTENTIALLY_DEAD_FIELD,Sonargraph Integration: Potentially dead field
430,sonargraphintegration:ROOT_PATH_NEITHER_AN_ARCHIVE_NOR_DIRECTORY,Sonargraph Integration: The specified path is neither an archive nor a directory
431,sonargraphintegration:WORKSPACE_DEPENDENCY_NOT_IMPLEMENTED,Sonargraph Integration: Unimplemented Workspace Dependency
432,sonargraphintegration:ARCHITECTURE_FILE_ERROR,Sonargraph Integration: Architecture File Error
433,sonargraphintegration:DELETE_REFACTORING,Sonargraph Integration: Delete Refactoring
434,sonargraphintegration:DEPENDENCY_TO_EXCLUDED_INTERNAL_COMPONENT,Sonargraph Integration: Dependency to Excluded Internal Component
435,sonargraphintegration:DIRECTORY_CYCLE_GROUP,Sonargraph Integration: Directory Cycle Group
436,sonargraphintegration:DUPLICATE_SCRIPT_METRIC_DEFINITION,Sonargraph Integration: Duplicate Script Metric Definition
437,sonargraphintegration:GROOVY_FILE_TYPE_MATCHING_INCONSISTENT,Sonargraph Integration: Type(s) defined in Groovy file do not match the source information obtained from class file(s)
438,sonargraphintegration:POTENTIALLY_DEAD_METHOD,Sonargraph Integration: Potentially dead method
439,sonargraphintegration:SUPERTYPE_USES_SUBTYPE,Sonargraph Integration: Supertype uses subtype
440,sonargraphintegration:ARCHITECTURE_VIOLATION,Sonargraph Integration: Architecture Violation
441,sonargraphintegration:ASPECTJ_FILE_CORRESPONDING_CLASS_FILE_MISSING,Sonargraph Integration: AspectJ file without corresponding class file
442,sonargraphintegration:CLASS_FILE_DUPLICATE,Sonargraph Integration: Duplicate class file
443,sonargraphintegration:EMPTY_ARCHITECTURE_ELEMENT,Sonargraph Integration: Empty Architecture Element
444,sonargraphintegration:POTENTIALLY_DEAD_TYPE,Sonargraph Integration: Potentially dead type
445,sonargraphintegration:RENAME_REFACTORING,Sonargraph Integration: Rename Refactoring
446,sonargraphintegration:SCRIPT_COMPILATION_ERROR,Sonargraph Integration: Script Compilation Error
447,sonargraphintegration:SEARCH_PATH_INVALID,Sonargraph Integration: Inaccessible Directory in Search Path
448,sonargraphintegration:THRESHOLD_VIOLATION,Sonargraph Integration: Threshold Violation
449,sonargraphintegration:UNRESOLVED_AMBIGUOUS_TARGET_TYPE,Sonargraph Integration: More than one target type found - dependency not resolved
450,sonargraphintegration:ANALYZER_CONFIGURATION_PROCESSING_FAILED,Sonargraph Integration: Analyzer Configuration Error
451,sonargraphintegration:AUTOMATED_SCRIPT_RUNTIME_ERROR,Sonargraph Integration: Automated Script Runtime Error
452,sonargraphintegration:GROOVY_TEMPLATE_ERROR,Sonargraph Integration: Groovy Template Error
453,sonargraphintegration:JAVA_FILE_DUPLICATE,Sonargraph Integration: Duplicate java file
454,sonargraphintegration:MANUAL_SCRIPT_RUNTIME_ERROR,Sonargraph Integration: Manual Script Runtime Error
455,sonargraphintegration:MODULE_CYCLE_GROUP,Sonargraph Integration: Module Cycle Group
456,sonargraphintegration:MOVE_REFACTORING,Sonargraph Integration: Move Refactoring
457,sonargraphintegration:RESOLVED_AMBIGUOUS_TARGET_TYPE,Sonargraph Integration: More than one target type found
458,sonargraphintegration:SCALA_FILE_CORRESPONDING_CLASS_FILE_MISSING,Sonargraph Integration: Type(s) defined in Scala file were not found in class file(s)
459,sonargraphintegration:WORKSPACE_DEPENDENCY_NOT_DEFINED,Sonargraph Integration: Undefined Workspace Dependency
460,checkstyle:class_attributes,class attributes
461,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck,Modified Control Variable
462,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.LocalFinalVariableNameCheck,Local Final Variable Name
463,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.MethodLengthCheck,Method Length
464,checkstyle:com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck,Need Braces
465,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck,Explicit Initialization
466,checkstyle:com.puppycrawl.tools.checkstyle.checks.FileContentsHolder,File Contents Holder
467,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocPackageCheck,Javadoc Package
468,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.SummaryJavadocCheck,Javadoc summary
469,checkstyle:com.puppycrawl.tools.checkstyle.checks.metrics.BooleanExpressionComplexityCheck,Boolean Expression Complexity
470,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.ClassTypeParameterNameCheck,Class Type(Generic) Parameter Name
471,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.MethodNameCheck,Method Name
472,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.PackageNameCheck,Package name
473,checkstyle:com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck,Empty Block
474,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.NestedForDepthCheck,Nested For Depth
475,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.NestedIfDepthCheck,Nested If Depth
476,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.NestedTryDepthCheck,Nested Try Depth
477,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck,Hide Utility Class Constructor
478,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.UnusedImportsCheck,Unused Imports
479,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.ConstantNameCheck,Constant Name
480,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.TypeNameCheck,Type Name
481,checkstyle:com.puppycrawl.tools.checkstyle.checks.UpperEllCheck,Upper Ell
482,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.GenericWhitespaceCheck,Generic Whitespace
483,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck,Hidden Field
484,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck,Multiple Variable Declarations
485,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck,Unnecessary Parentheses
486,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.InterfaceIsTypeCheck,Interface Is Type
487,checkstyle:com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheck,Indentation
488,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck,Javadoc Method
489,checkstyle:com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck,Regexp On Filename
490,checkstyle:com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder,Suppress Warnings Holder
491,checkstyle:com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck,Left Curly
492,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.MultipleStringLiteralsCheck,Multiple String Literals
493,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.OneStatementPerLineCheck,One Statement Per Line
494,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.SuperFinalizeCheck,Super Finalize
495,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.IllegalImportCheck,Illegal Import
496,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.MethodTypeParameterNameCheck,Method Type(Generic) Parameter Name
497,checkstyle:com.puppycrawl.tools.checkstyle.checks.regexp.RegexpCheck,Regexp
498,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.AnonInnerLengthCheck,Anon Inner Length
499,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.FileLengthCheck,File Length
500,android-lint:InlinedApi,Using inlined constants on older versions
501,android-lint:NestedWeights,Nested layout weights
502,android-lint:ResourceAsColor,Should pass resolved color instead of resource id
503,android-lint:ScrollViewSize,ScrollView size validation
504,android-lint:SetJavaScriptEnabled,Using setJavaScriptEnabled
505,android-lint:SmallSp,Text size is too small
506,android-lint:SpUsage,Using dp instead of sp for text sizes
507,android-lint:StopShip,Code contains STOPSHIP marker
508,android-lint:StyleCycle,Cycle in style definitions
509,android-lint:TypographyDashes,Hyphen can be replaced with dash
510,android-lint:UnknownIdInLayout,Reference to an id that is not in the current layout
511,android-lint:UnusedQuantity,Unused quantity translations
512,android-lint:UselessLeaf,Useless leaf layout
513,android-lint:WrongCase,Wrong case for view tag
514,android-lint:BackButton,Back button
515,android-lint:ExtraText,Extraneous text in resource files
516,android-lint:IconLauncherShape,The launcher icon shape should use a distinct silhouette
517,android-lint:InvalidId,Invalid ID declaration
518,android-lint:NestedScrolling,Nested scrolling widgets
519,android-lint:OnClick,onClick method does not exist
520,android-lint:SelectableText,Dynamic text should probably be selectable
521,android-lint:ShowToast,Toast created but not shown
522,android-lint:UselessParent,Useless parent layout
523,android-lint:ValidFragment,Fragment not instantiatable
524,android-lint:WorldReadableFiles,openFileOutput() call passing MODE_WORLD_READABLE
525,android-lint:WrongFolder,Resource file in the wrong res folder
526,android-lint:WrongManifestParent,Wrong manifest parent
527,android-lint:Deprecated,Using deprecated resources
528,android-lint:GridLayout,GridLayout validation
529,android-lint:IconNoDpi,Icon appears in both -nodpi and dpi folders
530,android-lint:IllegalResourceRef,"Name and version must be integer or string, not resource"
531,android-lint:InnerclassSeparator,Inner classes should use $ rather than .
532,android-lint:InvalidPackage,Package not included in Android
533,android-lint:JavascriptInterface,Missing @JavascriptInterface on methods
534,android-lint:MissingSuperCall,Missing Super Call
535,android-lint:OldTargetApi,Target SDK attribute is not targeting latest version
536,android-lint:Overdraw,Overdraw: Painting regions more than once
537,android-lint:RtlEnabled,Using RTL attributes without enabling RTL support
538,android-lint:StateListReachable,Unreachable state in a <selector>
539,android-lint:Typos,Spelling error
540,android-lint:UnknownId,Reference to an unknown id
541,android-lint:UnusedIds,Unused id
542,android-lint:ViewConstructor,Missing View constructors for XML inflation
543,android-lint:WrongCall,Using wrong draw/layout method
544,android-lint:ContentDescription,Image without contentDescription
545,android-lint:IconDuplicates,Duplicated icons under different names
546,android-lint:IconDuplicatesConfig,Identical bitmaps across various configurations
547,android-lint:IconXmlAndPng,Icon is specified both as .xml file and as a bitmap
548,android-lint:LabelFor,Missing labelFor attribute
549,android-lint:ManifestTypo,Typos in manifest tags
550,android-lint:MissingApplicationIcon,Missing application icon
551,android-lint:MissingQuantity,Missing quantity translation
552,android-lint:MultipleUsesSdk,Multiple <uses-sdk> elements in the manifest
553,android-lint:PackagedPrivateKey,Packaged private key
554,android-lint:Suspicious0dp,Suspicious 0dp dimension
555,android-lint:SuspiciousImport,'import android.R' statement
556,android-lint:UniquePermission,Permission names are not unique
557,android-lint:UnusedResources,Unused resources
558,android-lint:UseValueOf,Should use valueOf instead of new
559,android-lint:AdapterViewChildren,AdapterViews cannot have children in XML
560,android-lint:DalvikOverride,Method considered overridden by Dalvik
561,android-lint:DuplicateIncludedIds,Duplicate ids across layouts combined with include tags
562,android-lint:EnforceUTF8,Encoding used in resource files is not UTF-8
563,android-lint:GrantAllUris,Content provider shares everything
564,android-lint:IconDensities,Icon densities validation
565,android-lint:InconsistentArrays,Inconsistencies in array element counts
566,android-lint:Instantiatable,Registered class is not instantiatable
567,android-lint:MangledCRLF,Mangled file line endings
568,android-lint:ManifestOrder,Incorrect order of elements in manifest
569,android-lint:MissingPrefix,Missing Android XML namespace
570,android-lint:Orientation,Missing explicit orientation
571,android-lint:ScrollViewCount,ScrollViews can have only one child
572,android-lint:SecureRandom,Using a fixed seed with SecureRandom
573,android-lint:TypographyEllipsis,Ellipsis string can be replaced with ellipsis character
574,android-lint:TypographyFractions,Fraction string can be replaced with fraction character
575,android-lint:CommitPrefEdits,Missing commit() on SharedPreference editor
576,android-lint:CutPasteId,Likely cut & paste mistakes
577,android-lint:FieldGetter,Using getter instead of field
578,android-lint:IconExtension,Icon format does not match the file extension
579,android-lint:Proguard,Using obsolete ProGuard configuration
580,android-lint:StringFormatCount,Formatting argument types inconsistent across translations
581,android-lint:StringFormatMatches,String.format string doesn't match the XML format string
582,android-lint:TextFields,Missing inputType or hint
583,android-lint:TooDeepLayout,Layout hierarchy is too deep
584,android-lint:TypographyQuotes,Straight quotes can be replaced with curvy quotes
585,android-lint:RtlHardcoded,Using left/right instead of start/end attributes
586,android-lint:SdCardPath,Hardcoded reference to /sdcard
587,android-lint:ServiceCast,Wrong system service casts
588,android-lint:StringFormatInvalid,Invalid format string
589,android-lint:UseSparseArrays,HashMap can be replaced with SparseArray
590,android-lint:IconMissingDensityFolder,Missing density folder
591,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.ParameterNumberCheck,Parameter Number
592,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.InnerAssignmentCheck,Inner Assignment
593,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.ReturnCountCheck,Return Count
594,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.OneTopLevelClassCheck,One Top Level Class
595,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.ThrowsCountCheck,Throws Count
596,checkstyle:com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck,Final Parameters
597,checkstyle:com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck,Comments Indentation
598,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.AbbreviationAsWordInNameCheck,Abbreviation As Word In Name
599,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.AbstractClassNameCheck,Abstract Class Name
600,checkstyle:com.puppycrawl.tools.checkstyle.checks.TrailingCommentCheck,Trailing Comment
601,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.AvoidInlineConditionalsCheck,Avoid Inline Conditionals
602,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.CovariantEqualsCheck,Covariant Equals
603,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck,Magic Number
604,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.MissingSwitchDefaultCheck,Missing Switch Default
605,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.NoFinalizerCheck,No Finalizer
606,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanReturnCheck,Simplify Boolean Return
607,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck,Final Class
608,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.MutableExceptionCheck,Mutable Exception
609,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.AvoidStarImportCheck,Avoid Star Import
610,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.MemberNameCheck,Member name
611,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.ParameterNameCheck,Parameter Name
612,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.StaticVariableNameCheck,Static Variable Name
613,checkstyle:com.puppycrawl.tools.checkstyle.checks.ArrayTypeStyleCheck,Array Type Style
614,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.DefaultComesLastCheck,Default Comes Last
615,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck,Design For Extension
616,checkstyle:com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck,NPath Complexity
617,checkstyle:com.puppycrawl.tools.checkstyle.checks.NewlineAtEndOfFileCheck,Newline At End Of File
618,checkstyle:com.puppycrawl.tools.checkstyle.checks.blocks.EmptyCatchBlockCheck,Empty catch block
619,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.StringLiteralEqualityCheck,String Literal Equality
620,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck,Visibility Modifier
621,checkstyle:com.puppycrawl.tools.checkstyle.checks.annotation.MissingDeprecatedCheck,Missing Deprecated
622,checkstyle:com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheck,Avoid Escaped Unicode Characters
623,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.EmptyStatementCheck,Empty Statement
624,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck,Fall Through
625,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanExpressionCheck,Simplify Boolean Expression
626,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.SuperCloneCheck,Super Clone
627,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.RedundantImportCheck,Redundant import
628,checkstyle:com.puppycrawl.tools.checkstyle.checks.modifier.ModifierOrderCheck,Modifier Order
629,checkstyle:com.puppycrawl.tools.checkstyle.checks.TranslationCheck,Translation
630,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalThrowsCheck,Illegal Throws
631,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTypeCheck,Javadoc Type
632,checkstyle:com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheck,Class Fan Out Complexity
633,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.CatchParameterNameCheck,Catch Parameter Name
634,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.LocalVariableNameCheck,Local Variable Name
635,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForInitializerPadCheck,Empty For Initializer Pad
636,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.SingleSpaceSeparatorCheck,Single Space Separator
637,checkstyle:com.puppycrawl.tools.checkstyle.checks.blocks.AvoidNestedBlocksCheck,Avoid Nested Blocks
638,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck,Declaration Order
639,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.EqualsHashCodeCheck,Equals Hash Code
640,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck,Parameter Assignment
641,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.LineLengthCheck,Line Length
642,checkstyle:com.puppycrawl.tools.checkstyle.checks.TodoCommentCheck,Comment pattern matcher
643,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.SeparatorWrapCheck,Separator Wrap
644,checkstyle:com.puppycrawl.tools.checkstyle.checks.annotation.PackageAnnotationCheck,Package Annotation
645,checkstyle:com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck,Right Curly
646,checkstyle:com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck,Descendant Token
647,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocVariableCheck,Javadoc Variable
648,checkstyle:com.puppycrawl.tools.checkstyle.checks.metrics.CyclomaticComplexityCheck,Cyclomatic Complexity
649,squid:S00113,Files should contain an empty new line at the end
650,squid:S00114,Interface names should comply with a naming convention
651,squid:S00115,Constant names should comply with a naming convention
652,squid:S00116,Field names should comply with a naming convention
653,squid:S00117,Local variable and method parameter names should comply with a naming convention
654,squid:S00118,Abstract class names should comply with a naming convention
655,squid:S00119,Type parameter names should comply with a naming convention
656,squid:S1133,Deprecated code should be removed
657,squid:S1134,"Track uses of ""FIXME"" tags"
658,squid:S1135,"Track uses of ""TODO"" tags"
659,squid:S1258,Classes and enums with private members should have a constructor
660,squid:S2222,Locks should be released
661,squid:S2225,"""toString()"" and ""clone()"" methods should not return null"
662,squid:S2226,Servlets should not have mutable instance fields
663,squid:S3318,Untrusted data should not be stored in sessions
664,squid:S3553,"""Optional"" should not be used for parameters"
665,squid:S00104,Files should not have too many lines of code
666,squid:S00120,Package names should comply with a naming convention
667,squid:S1145,"Useless ""if(true) {...}"" and ""if(false){...}"" blocks should be removed"
668,squid:S1148,Throwable.printStackTrace(...) should not be called
669,squid:S2109,Reflection should not be used to check non-runtime annotations
670,squid:S2114,Collections should not be passed as arguments to their own methods
671,squid:S2116,"""hashCode"" and ""toString"" should not be called on array instances"
672,squid:S2235,IllegalMonitorStateException should not be caught
673,squid:S2236,"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances"
674,squid:S3437,Value-based objects should not be serialized
675,squid:S3438,"""SingleConnectionFactory"" instances should be set to ""reconnectOnException"""
676,squid:S3688,Track uses of disallowed classes
677,squid:S864,Limited dependence should be placed on operator precedence rules in expressions
678,squid:S00103,Lines should not be too long
679,squid:S00107,Methods should not have too many parameters
680,squid:S00108,Nested blocks of code should not be left empty
681,squid:S1141,Try-catch blocks should not be nested
682,squid:S1142,Methods should not have too many return statements
683,squid:S1143,"Jump statements should not occur in ""finally"" blocks"
684,squid:S2110,"Invalid ""Date"" values should not be used"
685,squid:S2111,"""BigDecimal(double)"" should not be used"
686,squid:S2118,Non-serializable classes should not be written
687,squid:S2230,"Non-public methods should not be ""@Transactional"""
688,squid:S3655,Optional value should only be accessed after calling isPresent()
689,squid:S3776,Cognitive Complexity of methods should not be too high
690,squid:S881,Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression
691,squid:NoSonar,"Track uses of ""NOSONAR"" comments"
692,squid:S1596,"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"
693,squid:S1598,Package declaration should match source file directory
694,squid:S2200,"""compareTo"" results should not be checked for specific values"
695,squid:S2201,Return values should not be ignored when function calls don't have any side effects
696,squid:S2204,""".equals()"" should not be used to test the values of ""Atomic"" classes"
697,squid:S2208,Wildcard imports should not be used
698,squid:S2209,"""static"" members should be accessed statically"
699,squid:S2325,"""private"" methods that don't access instance data should be ""static"""
700,squid:S2440,"Classes with only ""static"" methods should not be instantiated"
701,squid:S2441,"Non-serializable objects should not be stored in ""HttpSession"" objects"
702,squid:S2442,"""Lock"" objects should not be ""synchronized"""
703,squid:S2444,"Lazy initialization of ""static"" fields should be ""synchronized"""
704,squid:S2446,"""notifyAll"" should be used"
705,squid:S2447,"Null should not be returned from a ""Boolean"" method"
706,squid:S2681,Multiline blocks should be enclosed in curly braces
707,squid:S3417,Track uses of disallowed dependencies
708,squid:S3419,Group ids should follow a naming convention
709,squid:S1125,Boolean literals should not be redundant
710,squid:S1126,"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement"
711,squid:S1479,"""switch"" statements should not have too many ""case"" clauses"
712,squid:S1488,Local Variables should not be declared and then immediately returned or thrown
713,squid:S2326,Unused type parameters should be removed
714,squid:S2333,Redundant modifiers should not be used
715,squid:S2696,"Instance methods should not write to ""static"" fields"
716,squid:S2698,JUnit assertions should include messages
717,squid:S3420,Artifact ids should follow a naming convention
718,squid:S3422,"Dependencies should not have ""system"" scope"
719,squid:S3423,pom elements should be in the recommended order
720,squid:S3546,Custom resources should be closed
721,squid:S3658,Unit tests should throw exceptions
722,squid:UselessImportCheck,Useless imports should be removed
723,squid:ClassCyclomaticComplexity,Classes should not be too complex
724,squid:S1174,"""Object.finalize()"" should remain protected (versus public) when overriding"
725,squid:S1175,"The signature of ""finalize()"" should match that of ""Object.finalize()"""
726,squid:S1481,Unused local variables should be removed
727,squid:S2142,"""InterruptedException"" should not be ignored"
728,squid:S2147,Catches should be combined
729,squid:S2148,Underscores should be used to make large numbers readable
730,squid:S2386,"Mutable fields should not be ""public static"""
731,squid:S2387,Child class fields should not shadow parent class fields
