,issueId,issueDescription
732,squid:S2388,Inner class calls to super class methods should be unambiguous
733,squid:S2693,Threads should not be started in constructors
734,squid:S2695,"""PreparedStatement"" and ""ResultSet"" methods should be called with valid indices"
735,squid:S3306,Constructor injection should be used instead of field injection
736,squid:S3355,Web applications should use validation filters
737,squid:S3421,"Deprecated ""${pom}"" properties should not be used"
738,squid:S3599,Double Brace Initialization should not be used
739,squid:S1066,"Collapsible ""if"" statements should be merged"
740,squid:S1067,Expressions should not be too complex
741,squid:S1170,"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final"""
742,squid:S1171,Only static class initializers should be used
743,squid:S1188,Lambdas and anonymous classes should not have too many lines of code
744,squid:S2039,Member variable visibility should be specified
745,squid:S2141,"Classes that don't define ""hashCode()"" should not be used in hashes"
746,squid:S2156,"""final"" classes should not have ""protected"" members"
747,squid:S2157,"""Cloneables"" should implement ""clone"""
748,squid:S2159,Silly equality checks should not be made
749,squid:S2277,Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding)
750,squid:S3369,Security constraints should be defined
751,squid:S1065,Unused labels should be removed
752,squid:S1185,Overriding methods should do more than simply call the same method in the super class
753,squid:S2153,Boxing and unboxing should not be immediately reversed
754,squid:S2154,Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting
755,squid:S3008,Static non-final field names should comply with a naming convention
756,squid:UndocumentedApi,"Public types, methods and fields (API) should be documented with Javadoc"
757,squid:S1182,"Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()"""
758,squid:S2122,"""ScheduledThreadPoolExecutor"" should not have 0 core threads"
759,squid:S2127,"""Double.longBitsToDouble"" should not be used for ""int"""
760,squid:S2151,"""runFinalizersOnExit"" should not be called"
761,squid:S2245,Pseudorandom number generators (PRNGs) should not be used in secure contexts
762,squid:S2272,"""Iterator.next()"" methods should throw ""NoSuchElementException"""
763,squid:S2391,JUnit framework methods should be declared properly
764,squid:S3577,Test classes should comply with a naming convention
765,squid:S3578,Test methods should comply with a naming convention
766,squid:LabelsShouldNotBeUsedCheck,Labels should not be used
767,squid:S00100,Method names should comply with a naming convention
768,squid:S00101,Class names should comply with a naming convention
769,squid:S1150,Enumeration should not be implemented
770,squid:S1151,"""switch case"" clauses should not have too many lines of code"
771,squid:S1153,String.valueOf() should not be appended to a String
772,squid:S1168,Empty arrays and collections should be returned instead of null
773,squid:S2123,Values should not be uselessly incremented
774,squid:S2134,"Classes extending java.lang.Thread should override the ""run"" method"
775,squid:S2254,"""HttpServletRequest.getRequestedSessionId()"" should not be used"
776,squid:S2257,Only standard cryptographic algorithms should be used
777,squid:S2258,"""javax.crypto.NullCipher"" should not be used for anything other than testing"
778,squid:S2259,Null pointers should not be dereferenced
779,squid:S923,Functions should not be defined with a variable number of arguments
780,squid:LeftCurlyBraceEndLineCheck,An open curly brace should be located at the end of a line
781,squid:S1160,Public methods should throw at most one checked exception
782,squid:S1162,Checked exceptions should not be thrown
783,squid:S1165,Exception classes should be immutable
784,squid:S1774,The ternary operator should not be used
785,squid:S2251,"A ""for"" loop update clause should move the counter in the right direction"
786,squid:S2252,Loop conditions should be true at least once
787,squid:S2253,Track uses of disallowed methods
788,squid:S3340,Annotation arguments should appear in the order in which they were declared
789,squid:S818,Literal suffixes should be upper case
790,squid:CommentedOutCodeLine,"Sections of code should not be ""commented out"""
791,squid:ObjectFinalizeCheck,The Object.finalize() method should not be called
792,squid:ParsingError,Java parser failure
793,squid:S1301,"""switch"" statements should have at least 3 ""case"" clauses"
794,squid:S1309,"Track uses of ""@SuppressWarnings"" annotations"
795,squid:S1656,Variables should not be self-assigned
796,squid:S1659,Multiple variables should not be declared on the same line
797,squid:S1872,Classes should not be compared by name
798,squid:S1996,Files should contain only one top-level class or interface each
799,squid:S2637,"""@NonNull"" values should not be set to null"
800,squid:S2638,Method overrides should not change contracts
801,squid:S2639,Inappropriate regular expressions should not be used
802,squid:S2973,Escaped Unicode characters should not be used
803,squid:S2974,"Classes without ""public"" constructors should be ""final"""
804,squid:EmptyFile,Files should not be empty
805,squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck,"""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations"
806,squid:S1213,The members of an interface declaration or class should appear in a pre-defined order
807,squid:S1214,Constants should not be defined in interfaces
808,squid:S1695,"""NullPointerException"" should not be explicitly thrown"
809,squid:S1696,"""NullPointerException"" should not be caught"
810,squid:S1697,Short-circuit logic should be used to prevent null pointer dereferences in conditionals
811,squid:S2301,Public methods should not contain selector arguments
812,squid:S2737,"""catch"" clauses should do more than rethrow"
813,squid:S2786,"Nested ""enum""s should not be declared static"
814,squid:S2970,Assertions should be complete
815,squid:S2972,Inner classes should not have too many lines of code
816,squid:S2975,"""clone"" should not be overridden"
817,squid:S2976,"""File.createTempFile"" should not be used to create a directory"
818,squid:S1210,"""equals(Object obj)"" should be overridden along with the ""compareTo(T obj)"" method"
819,squid:S1217,Thread.run() should not be called directly
820,squid:S1223,Non-constructor methods should not have the same name as the enclosing class
821,squid:S1450,Private fields only used as local variables in methods should become local variables
822,squid:S1451,Track lack of copyright and license headers
823,squid:S1452,Generic wildcard types should not be used in return parameters
824,squid:S1694,An abstract class should have both abstract and concrete methods
825,squid:S1699,Constructors should only call non-overridable methods
826,squid:S2674,The value returned from a stream read should be checked
827,squid:S2675,"""readObject"" should not be ""synchronized"""
828,squid:S2676,"Neither ""Math.abs"" nor negation should be used on numbers that could be ""MIN_VALUE"""
829,squid:S2677,"""read"" and ""readLine"" return values should be used"
830,squid:S2789,"""null"" should not be used with ""Optional"""
831,squid:S3400,Methods should not return constants
832,squid:S3518,Zero should not be a possible denominator
833,squid:ArchitecturalConstraint,Track breaches of architectural constraints
834,squid:ForLoopCounterChangedCheck,"""for"" loop stop conditions should be invariant"
835,squid:ObjectFinalizeOverridenCheck,The Object.finalize() method should not be overriden
836,squid:S1220,The default unnamed package should not be used
837,squid:S1221,"Methods should not be named ""hashcode"" or ""equal"""
838,squid:S1228,Packages should have a javadoc file 'package-info.java'
839,squid:S1310,"Track uses of ""NOPMD"" suppression comments"
840,squid:S1312,"Loggers should be ""private static final"" and should share a naming convention"
841,squid:S1313,IP addresses should not be hardcoded
842,squid:S1314,Octal values should not be used
843,squid:S1315,"Track uses of ""CHECKSTYLE:OFF"" suppression comments"
844,squid:S1317,"""StringBuilder"" and ""StringBuffer"" should not be instantiated with a character"
845,squid:S1319,"Declarations should use Java collection interfaces such as ""List"" rather than specific implementation classes such as ""LinkedList"""
846,squid:S2438,"""Threads"" should not be used where ""Runnables"" are expected"
847,squid:S2885,Non-thread-safe fields should not be static
848,squid:S2886,Getters and setters should be synchronized in pairs
849,squid:RightCurlyBraceStartLineCheck,A close curly brace should be located at the beginning of a line
850,squid:S1200,Classes should not be coupled to too many other classes (Single Responsibility Principle)
851,squid:S1206,"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs"
852,squid:S1444,"""public static"" fields should be constant"
853,squid:S1448,Classes should not have too many methods
854,squid:S1449,Locale should be used in String operations
855,squid:S1700,A field should not duplicate the name of its containing class
856,squid:S1820,Classes should not have too many fields
857,squid:S1940,Boolean checks should not be inverted
858,squid:S1942,Simple class names should be used
859,squid:S1948,"Fields in a ""Serializable"" class should either be transient or serializable"
860,squid:S2653,"Web applications should not have a ""main"" method"
861,squid:S2658,Classes should not be loaded dynamically
862,squid:S2912,"""indexOf"" checks should use a start position"
863,squid:CallToDeprecatedMethod,"""@Deprecated"" code should not be used"
864,squid:RightCurlyBraceSameLineAsNextBlockCheck,"Close curly brace and the next ""else"", ""catch"" and ""finally"" keywords should be located on the same line"
865,squid:S1610,Abstract classes without fields should be converted to interfaces
866,squid:S1611,Parentheses should be removed from a single lambda input parameter when its type is inferred
867,squid:S1612,Lambdas should be replaced with method references
868,squid:S1860,Synchronization should not be based on Strings or boxed primitives
869,squid:S1862,"Related ""if/else if"" statements should not have the same condition"
870,squid:S1905,Redundant casts should not be used
871,squid:S1939,Extensions and implementations should not be redundant
872,squid:S1941,Variables should not be declared before they are relevant
873,squid:S2701,Literal boolean values should not be used in assertions
874,squid:S2959,Unnecessary semicolons should be omitted
875,squid:HiddenFieldCheck,Local variables should not shadow class fields
876,squid:MissingDeprecatedCheck,Deprecated elements should have both the annotation and the Javadoc tag
877,squid:S134,"Control flow statements ""if"", ""for"", ""while"", ""switch"" and ""try"" should not be nested too deeply"
878,squid:S1602,Lamdbas containing only one statement should not nest this statement in a block
879,squid:S1604,Anonymous inner classes containing only one method should become lambdas
880,squid:S1607,Tests should not be ignored
881,squid:S1710,Annotation repetitions should not be wrapped
882,squid:S1711,Standard functional interfaces should not be redefined
883,squid:S1844,"""Object.wait(...)"" should never be called on objects that implement ""java.util.concurrent.locks.Condition"""
884,squid:S1845,Methods and field names should not be the same or differ only by capitalization
885,squid:S1849,"""Iterator.hasNext()"" should not call ""Iterator.next()"""
886,squid:S1989,Exceptions should not be thrown from servlet methods
887,squid:S2924,JUnit rules should be used
888,squid:S2925,"""Thread.sleep"" should not be used in tests"
889,squid:S138,Methods should not have too many lines
890,squid:S2061,Custom serialization method signatures should meet requirements
891,squid:S2063,"Comparators should be ""Serializable"""
892,squid:S2065,"Fields in non-serializable classes should not be ""transient"""
893,squid:S2066,"""Serializable"" inner classes of non-serializable classes should be ""static"""
894,squid:S2068,Credentials should not be hard-coded
895,squid:S2186,"JUnit assertions should not be used in ""run"" methods"
896,squid:S2187,TestCases should contain tests
897,squid:S2188,JUnit test cases should call super methods
898,squid:S3034,Raw byte values should not be used in bitwise operations in combination with shifts
899,squid:S3038,Abstract methods should not be redundant
900,squid:S3398,"""private"" methods called only by inner classes should be moved to those classes"
901,squid:S106,Standard outputs should not be used directly to log anything
902,squid:S109,Magic numbers should not be used
903,squid:S2060,"""Externalizable"" classes should have no-arguments constructors"
904,squid:S2062,"""readResolve"" methods should be inheritable"
905,squid:S2076,Values passed to OS commands should be sanitized
906,squid:S2078,Values passed to LDAP queries should be sanitized
907,squid:S2183,Ints and longs should not be shifted by zero or more than their number of bits-1
908,squid:S3030,"Classes should not have too many ""static"" imports"
909,squid:S3046,"""wait"" should not be called when multiple locks are held"
910,squid:S1199,Nested code blocks should not be used
911,squid:S2166,"Classes named like ""Exception"" should extend ""Exception"" or a subclass"
912,squid:S2167,"""compareTo"" should not return ""Integer.MIN_VALUE"""
913,squid:S2168,Double-checked locking should not be used
914,squid:S3042,"""writeObject"" should not be the only ""synchronized"" code in a class"
915,squid:S3281,"Default EJB interceptors should be declared in ""ejb-jar.xml"""
916,squid:S3282,EJB interceptor exclusions should be declared as annotations
917,squid:S3374,Struts validation forms should have unique names
918,squid:S1190,Future keywords should not be used as names
919,squid:S1192,String literals should not be duplicated
920,squid:S1193,"Exception types should not be tested using ""instanceof"" in catch blocks"
921,squid:S1194,"""java.lang.Error"" should not be extended"
922,squid:S1195,"Array designators ""[]"" should be located after the type in method signatures"
923,squid:S1197,"Array designators ""[]"" should be on the type, not the variable"
924,squid:S2057,"""Serializable"" classes should have a version id"
925,squid:S2059,"""Serializable"" inner classes of ""Serializable"" classes should be static"
926,squid:S2162,"""equals"" methods should be symmetric and work for subclasses"
927,squid:S2164,Math should not be performed on floats
928,squid:S2165,"""finalize"" should not set fields to ""null"""
929,squid:S2175,"Inappropriate ""Collection"" calls should not be made"
930,squid:S2177,Child class methods named for parent class methods should be overrides
931,squid:S3373,"""action"" mappings should not have too many ""forward"" entries"
932,squid:ClassVariableVisibilityCheck,Class variable fields should not have public accessibility
933,squid:LeftCurlyBraceStartLineCheck,An open curly brace should be located at the beginning of a line
934,squid:ModifiersOrderCheck,Modifiers should be declared in the correct order
935,squid:RedundantThrowsDeclarationCheck,"""throws"" declarations should not be superfluous"
936,squid:RightCurlyBraceDifferentLineAsNextBlockCheck,"Close curly brace and the next ""else"", ""catch"" and ""finally"" keywords should be on two different lines"
937,squid:S2055,"The non-serializable super class of a ""Serializable"" class should have a no-argument constructor"
938,squid:S2089,HTTP referers should not be relied on
939,squid:S2097,"""equals(Object obj)"" should test argument type"
940,squid:S2176,Class names should not shadow interfaces or superclasses
941,squid:S2293,"The diamond operator (""<>"") should be used"
942,squid:S3020,"""toArray"" should be passed an array of the proper type"
943,squid:S3052,Fields should not be initialized to default values
944,squid:S3066,"""enum"" fields should not be publicly mutable"
945,squid:S3067,"""getClass"" should not be used for synchronization"
946,squid:S888,"Equality operators should not be used in ""for"" loop termination conditions"
947,squid:TrailingCommentCheck,Comments should not be located at the end of lines of code
948,squid:S2092,"Cookies should be ""secure"""
949,squid:S2094,Classes should not be empty
950,squid:S2095,Resources should be closed
951,squid:S899,Return values should not be ignored when they contain the operation status code
952,checkstyle:ATTRIBUTECOUNT,ATTRIBUTECOUNT
953,checkstyle:com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationLocationCheck,Annotation Location
954,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck,Illegal Instantiation
955,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.AvoidStaticImportCheck,Avoid Static Import
956,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocParagraphCheck,Javadoc Paragraph
957,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck,Illegal Type
958,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck,Javadoc Style
959,checkstyle:com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck,Redundant Modifier
960,checkstyle:com.puppycrawl.tools.checkstyle.checks.UniquePropertiesCheck,Unique Properties
961,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.NoLineWrapCheck,No Line Wrap
962,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceBeforeCheck,No Whitespace Before
963,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck,Whitespace Around
964,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck,Final Local Variable
965,checkstyle:com.puppycrawl.tools.checkstyle.checks.design.InnerTypeLastCheck,Inner Type Last
966,checkstyle:com.puppycrawl.tools.checkstyle.checks.metrics.ClassDataAbstractionCouplingCheck,Class Data Abstraction Coupling
967,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheck,No Whitespace After
968,checkstyle:com.puppycrawl.tools.checkstyle.checks.annotation.MissingOverrideCheck,Missing Override
969,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenTextCheck,Illegal Token Text
970,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck,Require This
971,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck,Empty Line Separator
972,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.ExecutableStatementCountCheck,Executable Statement Count
973,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.MethodParamPadCheck,Method Param Pad
974,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.ParenPadCheck,Paren Pad
975,checkstyle:com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck,Suppress Warnings
976,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.MissingCtorCheck,Missing Constructor
977,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck,Variable Declaration Usage Distance
978,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheck,Custom Import Order
979,checkstyle:com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck,Import Order
980,checkstyle:com.puppycrawl.tools.checkstyle.checks.naming.InterfaceTypeParameterNameCheck,Interface Type Parameter Name
981,checkstyle:com.puppycrawl.tools.checkstyle.checks.OuterTypeFilenameCheck,Outer Type Filename
982,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.ArrayTrailingCommaCheck,Array Trailing Comma
983,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenCheck,Illegal Token
984,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTagContinuationIndentationCheck,Javadoc Tag Continuation Indentation
985,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.SingleLineJavadocCheck,Single Line Javadoc
986,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.WriteTagCheck,Write Tag
987,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheck,Outer Type Number
988,checkstyle:com.puppycrawl.tools.checkstyle.checks.UncommentedMainCheck,Uncommented Main
989,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyForIteratorPadCheck,Empty For Iterator Pad
990,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.OperatorWrapCheck,Operator Wrap
991,checkstyle:com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheck,Annotation Use Style
992,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.IllegalCatchCheck,Illegal Catch
993,checkstyle:com.puppycrawl.tools.checkstyle.checks.coding.OverloadMethodsDeclarationOrderCheck,Overload Methods Declaration Order
994,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.AtclauseOrderCheck,At-clause Order
995,checkstyle:com.puppycrawl.tools.checkstyle.checks.javadoc.NonEmptyAtclauseDescriptionCheck,Non Empty At-clause Description
996,checkstyle:com.puppycrawl.tools.checkstyle.checks.regexp.RegexpMultilineCheck,Regexp Multiline
997,checkstyle:com.puppycrawl.tools.checkstyle.checks.regexp.RegexpSinglelineCheck,Regexp Singleline
998,checkstyle:com.puppycrawl.tools.checkstyle.checks.sizes.MethodCountCheck,Method Count
999,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.TypecastParenPadCheck,Typecast Paren Pad
1000,checkstyle:com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAfterCheck,Whitespace After
1001,checkstyle:com.puppycrawl.tools.checkstyle.checks.metrics.JavaNCSSCheck,JavaNCSS
1002,checkstyle:com.puppycrawl.tools.checkstyle.checks.regexp.RegexpSinglelineJavaCheck,Regexp Singleline Java
1003,common-java:DuplicatedBlocks,Source files should not have any duplicated blocks
1004,common-java:FailedUnitTests,Failed unit tests should be fixed
1005,common-java:InsufficientCommentDensity,Source files should have a sufficient density of comment lines
1006,common-java:SkippedUnitTests,Skipped unit tests should be either removed or fixed
1007,code_smells:complex_class,Complex Class
1008,code_smells:refused_parent_bequest,Refused parent bequest
1009,code_smells:speculative_generality,Speculative generality
1010,code_smells:tradition_breaker,Tradition breaker
1011,code_smells:antisingleton,Antisingleton
1012,code_smells:baseclass_abstract,BaseClassShouldBeAbstract
1013,code_smells:baseclass_knows_derived,BaseClassKnowsDerivedClass
1014,code_smells:class_data_private,Class Data Should be Private
1015,code_smells:functional_decomposition,Functional Decomposition
1016,code_smells:large_class,Large class
1017,code_smells:long_method,Long method
1018,code_smells:long_parameter_list,Long parameter list
1019,code_smells:many_field_attributes_not_complex,Many field attribute not complex
1020,code_smells:message_chains,Message chains
1021,code_smells:spaghetti_code,Spaghetti Code
1022,code_smells:swiss_army_knife,Swiss army knife
1023,code_smells:lazy_class,Lazy class
1024,android-lint:AllowBackup,Missing allowBackup attribute
1025,android-lint:DuplicateIds,Duplicate ids within a single layout
1026,android-lint:EasterEgg,Code contains easter egg
1027,android-lint:FloatMath,Using FloatMath instead of Math
1028,android-lint:IconColors,Icon colors do not follow the recommended visual style
1029,android-lint:InOrMmUsage,Using mm or in dimensions
1030,android-lint:MissingRegistered,Missing registered class
1031,android-lint:MissingVersion,Missing application name/version
1032,android-lint:ObsoleteLayoutParam,Obsolete layout params
1033,android-lint:PrivateResource,Using private resources
1034,android-lint:Registered,Class is not registered in the manifest
1035,android-lint:SimpleDateFormat,Implied locale in date format
1036,android-lint:TextViewEdits,TextView should probably be an EditText instead
1037,android-lint:TooManyViews,Layout has too many views
1038,android-lint:Wakelock,Incorrect WakeLock usage
1039,android-lint:DuplicateDefinition,Duplicate definitions of resources
1040,android-lint:DuplicateUsesFeature,Feature declared more than once
1041,android-lint:ExportedContentProvider,Content provider does not require permission
1042,android-lint:IconDipSize,Icon density-independent size validation
1043,android-lint:IconLocation,Image defined in density-independent drawable folder
1044,android-lint:InconsistentLayout,Inconsistent Layouts
1045,android-lint:InefficientWeight,Inefficient layout weight
1046,android-lint:LibraryCustomView,Custom views in libraries should use res-auto-namespace
1047,android-lint:LocalSuppress,@SuppressLint on invalid element
1048,android-lint:NotSibling,RelativeLayout Invalid Constraints
1049,android-lint:RequiredSize,Missing layout_width or layout_height attributes
1050,android-lint:RtlCompat,Right-to-left text compatibility issues
1051,android-lint:TypographyOther,Other typographical problems
1052,android-lint:UnusedNamespace,Unused namespace
1053,android-lint:ViewTag,Tagged object leaks
1054,android-lint:AlwaysShowAction,Usage of showAsAction=always
1055,android-lint:CommitTransaction,Missing commit() calls
1056,android-lint:DrawAllocation,Memory allocations within drawing code
1057,android-lint:DuplicateActivity,Activity registered more than once
1058,android-lint:ExportedService,Exported service does not require permission
1059,android-lint:HandlerLeak,Handler reference leaks
1060,android-lint:MenuTitle,Missing menu title
1061,android-lint:ParcelCreator,Missing Parcelable CREATOR field
1062,android-lint:ResAuto,Hardcoded Package in Namespace
1063,android-lint:UsesMinSdkAttributes,Minimum SDK and target SDK attributes not defined
1064,android-lint:WrongViewCast,Mismatched view type
1065,android-lint:ButtonOrder,Button order
1066,android-lint:DefaultLocale,Implied default locale in case conversion
1067,android-lint:DeviceAdmin,Malformed Device Admin
1068,android-lint:DisableBaselineAlignment,Missing baselineAligned attribute
1069,android-lint:ExtraTranslation,Extra translation
1070,android-lint:ProtectedPermissions,Using system app permission
1071,android-lint:PxUsage,Using 'px' dimension
1072,android-lint:Recycle,Missing recycle() calls
1073,android-lint:UnlocalizedSms,SMS phone number missing country code
1074,android-lint:UseCompoundDrawables,Node can be replaced by a TextView with compound drawables
1075,android-lint:WorldWriteableFiles,openFileOutput() call passing MODE_WORLD_WRITEABLE
1076,android-lint:ButtonStyle,Button should be borderless
1077,android-lint:ExportedReceiver,Receiver does not require permission
1078,android-lint:HardcodedDebugMode,Hardcoded value of android:debuggable in the manifest
1079,android-lint:IconExpectedSize,Icon has incorrect size
1080,android-lint:MergeRootFrame,FrameLayout can be replaced with <merge> tag
1081,android-lint:MissingId,Fragments should specify an id or tag
1082,android-lint:MissingTranslation,Incomplete translation
1083,android-lint:NamespaceTypo,Misspelled namespace declaration
1084,android-lint:NewApi,Calling new methods on older versions
1085,android-lint:Override,Method conflicts with new inherited method
1086,android-lint:ProguardSplit,Proguard.cfg file contains generic Android rules
1087,android-lint:ButtonCase,Cancel/OK dialog button capitalization
1088,android-lint:GifUsage,Using .gif format for bitmaps is discouraged
1089,android-lint:HardcodedText,Hardcoded text
1090,android-lint:IconMixedNinePatch,Clashing PNG and 9-PNG files
